Gene	importance
ZFP36	2.5007114180252
ATF3	2.44753502344638
SLC25A28	2.42196340744513
GABARAPL2	2.29453762217545
CDKN1A	2.20867967766795
TNFAIP3	1.78770640199225
FZD7	1.74762032034592
SLC39A14	1.2930293651535
SCP2	1.07969644361755
BRD2	0.746678756561094
PEX2	0.685604306041429
PGRMC1	0.685501120915921
PARP6	0.599994672469581
RELA	0.487074523312349
CYB5R1	0.467115343382727
SOCS1	0.426646724749694
DAZAP1	0.425305212875281
NDRG1	0.423643043837874
IL1B	0.416427025773703
CDKN2A	0.373382203857283
PARK7	0.361624408440719
TBK1	0.316531952110066
MTDH	0.304976010129678
FURIN	0.288950914179378
IL6	0.286624868040603
HSPA5	0.271857384776786
ULK1	0.221334871950781
EGFR	0.212648920475957
BRD4	0.201292570343623
MEG3	0.19946207455465
DDR2	0.179511941225523
MEF2C	0.173922775812715
PTGS2	0.17194277344287
GSTZ1	0.157123355760064
RBMS1	0.147248326838012
GLRX5	0.139154316272003
ATG16L1	0.108035596893532
TFRC	0.0848475458674903
ALDH3A2	0.0668821132640788
SNX5	0.0646236532502627
